run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
ERR2598052	ERP109002	SAMEA4689974	ERS2510158	ERX2614333	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2024sTSb.Human.Heart.10w.Male_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	37335172	3770852372	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:2024sTSb.Human.Heart.10w.Male_s	E-MTAB-6814:2024sTSb.Human.Heart.10w.Male	3224029434	f12177e7165b776ccd86594f4425f557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598052/ERR2598052.fastq.gz	3063017668	5033170e2472cba59e4e76fe784ef579	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598052/2024sTSb.Human.Heart.10w.Male.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598052/2024sTSb.Human.Heart.10w.Male.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598052/2024sTSb.Human.Heart.10w.Male.fastq.gz	FASTQ	2538407638	fcf3a9c194883ea0bd642650acfcf8d6	ftp.sra.ebi.ac.uk/vol1/err/ERR259/002/ERR2598052	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/002/ERR2598052	ftp.sra.ebi.ac.uk/vol1/err/ERR259/002/ERR2598052	E-MTAB-6814:2024sTSb.Human.Heart.10w.Male	ArrayExpress	2024sTSb.Human.Heart.10w.Male		2018-05-25
ERR2598051	ERP109002	SAMEA4689973	ERS2510157	ERX2614332	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	5664sTS.Human.Forebrain.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	35951148	3631065948	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:5664sTS.Human.Forebrain.10w.Female_s	E-MTAB-6814:5664sTS.Human.Forebrain.10w.Female	1980642438	9c0b30f86e2d937ff9c178cca0f432e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598051/ERR2598051.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/001/ERR2598051/ERR2598051.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2598051/ERR2598051.fastq.gz	1838464783	7373ad160b8518975e3a11dcbd950f19	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598051/5664sTS.Human.Forebrain.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598051/5664sTS.Human.Forebrain.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598051/5664sTS.Human.Forebrain.10w.Female.fastq.gz	FASTQ	1296134296	cf3df1cb7912e5a2ab655c37e8e4428d	ftp.sra.ebi.ac.uk/vol1/err/ERR259/001/ERR2598051	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/001/ERR2598051	ftp.sra.ebi.ac.uk/vol1/err/ERR259/001/ERR2598051	E-MTAB-6814:5664sTS.Human.Forebrain.10w.Female	ArrayExpress	5664sTS.Human.Forebrain.10w.Female		2018-05-25
ERR2598053	ERP109002	SAMEA4689975	ERS2510159	ERX2614334	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2092sTS.Human.Heart.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	30761894	3106951294	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:2092sTS.Human.Heart.10w.Female_s	E-MTAB-6814:2092sTS.Human.Heart.10w.Female	1692967527	1d2bb2649e5eaf63c820a29a7f1afa54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598053/ERR2598053.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/003/ERR2598053/ERR2598053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2598053/ERR2598053.fastq.gz	1568847207	873a83336e3d0eaeaac8b0479f0aee94	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598053/2092sTS.Human.Heart.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598053/2092sTS.Human.Heart.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598053/2092sTS.Human.Heart.10w.Female.fastq.gz	FASTQ	1110824637	4efe8a704e217536d07df2acf7a217ef	ftp.sra.ebi.ac.uk/vol1/err/ERR259/003/ERR2598053	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/003/ERR2598053	ftp.sra.ebi.ac.uk/vol1/err/ERR259/003/ERR2598053	E-MTAB-6814:2092sTS.Human.Heart.10w.Female	ArrayExpress	2092sTS.Human.Heart.10w.Female		2018-05-25
ERR2598057	ERP109002	SAMEA4689979	ERS2510163	ERX2614338	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	5743sTS.Human.Hindbrain.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	41069878	4148057678	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:5743sTS.Human.Hindbrain.10w.Female_s	E-MTAB-6814:5743sTS.Human.Hindbrain.10w.Female	2462945203	86a287012816b890476c683d23390837	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598057/ERR2598057.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/007/ERR2598057/ERR2598057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2598057/ERR2598057.fastq.gz	2297469666	afed67de1203e2ba9fafe1d02473d1cf	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598057/5743sTS.Human.Hindbrain.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598057/5743sTS.Human.Hindbrain.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598057/5743sTS.Human.Hindbrain.10w.Female.fastq.gz	FASTQ	1629745861	ab193f3609f0e8c59592c635a2fad488	ftp.sra.ebi.ac.uk/vol1/err/ERR259/007/ERR2598057	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/007/ERR2598057	ftp.sra.ebi.ac.uk/vol1/err/ERR259/007/ERR2598057	E-MTAB-6814:5743sTS.Human.Hindbrain.10w.Female	ArrayExpress	5743sTS.Human.Hindbrain.10w.Female		2018-05-25
ERR2598054	ERP109002	SAMEA4689976	ERS2510160	ERX2614335	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	3777sTS.Human.Heart.10w.Male_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	27256989	2752955889	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:3777sTS.Human.Heart.10w.Male_s	E-MTAB-6814:3777sTS.Human.Heart.10w.Male	1660282485	85cfad88d3f64fbfc6b02c6956eaa896	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598054/ERR2598054.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598054/ERR2598054.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598054/ERR2598054.fastq.gz	1547919362	920ed0f7afbc6fa6f8c0936dd631246b	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598054/3777sTS.Human.Heart.10w.Male.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598054/3777sTS.Human.Heart.10w.Male.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598054/3777sTS.Human.Heart.10w.Male.fastq.gz	FASTQ	1114579817	d56d386b9a37ec3b85549d8ec83cea76	ftp.sra.ebi.ac.uk/vol1/err/ERR259/004/ERR2598054	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/004/ERR2598054	ftp.sra.ebi.ac.uk/vol1/err/ERR259/004/ERR2598054	E-MTAB-6814:3777sTS.Human.Heart.10w.Male	ArrayExpress	3777sTS.Human.Heart.10w.Male		2018-05-25
ERR2598056	ERP109002	SAMEA4689978	ERS2510162	ERX2614337	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	3653sTS.Human.Hindbrain.10w.Male_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	46175127	4663687827	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:3653sTS.Human.Hindbrain.10w.Male_s	E-MTAB-6814:3653sTS.Human.Hindbrain.10w.Male	2793320122	72a3dce7ac05ce21d5311e27c12dbe04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598056/ERR2598056.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/006/ERR2598056/ERR2598056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/006/ERR2598056/ERR2598056.fastq.gz	2609128540	3c37ed5244852fe505e16bddef68b0ba	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598056/3653sTS.Human.Hindbrain.10w.Male.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598056/3653sTS.Human.Hindbrain.10w.Male.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598056/3653sTS.Human.Hindbrain.10w.Male.fastq.gz	FASTQ	1859965391	7b61043bca94cf75fc2f223fa79102ac	ftp.sra.ebi.ac.uk/vol1/err/ERR259/006/ERR2598056	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/006/ERR2598056	ftp.sra.ebi.ac.uk/vol1/err/ERR259/006/ERR2598056	E-MTAB-6814:3653sTS.Human.Hindbrain.10w.Male	ArrayExpress	3653sTS.Human.Hindbrain.10w.Male		2018-05-25
ERR2598062	ERP109002	SAMEA4689984	ERS2510168	ERX2614343	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	2094sTS.Human.Liver.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	25202024	2545404424	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:2094sTS.Human.Liver.10w.Female_s	E-MTAB-6814:2094sTS.Human.Liver.10w.Female	1906992597	c3dbd21fbfc122f3961240bda2306adb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/002/ERR2598062/ERR2598062.fastq.gz	1798652815	13ea01fc6303aba13ce7c80d406181e2	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598062/2094sTS.Human.Liver.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598062/2094sTS.Human.Liver.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598062/2094sTS.Human.Liver.10w.Female.fastq.gz	FASTQ	1575626388	3649daaea1c2e9bc1b31084f866cda29	ftp.sra.ebi.ac.uk/vol1/err/ERR259/002/ERR2598062	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/002/ERR2598062	ftp.sra.ebi.ac.uk/vol1/err/ERR259/002/ERR2598062	E-MTAB-6814:2094sTS.Human.Liver.10w.Female	ArrayExpress	2094sTS.Human.Liver.10w.Female		2018-05-25
ERR2598064	ERP109002	SAMEA4689986	ERS2510170	ERX2614345	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	5678sTS.Human.Liver.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	24890873	2513978173	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:5678sTS.Human.Liver.10w.Female_s	E-MTAB-6814:5678sTS.Human.Liver.10w.Female	1313110016	2eb56ded1bd7811320f8a28a103a6b62	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598064/ERR2598064.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/004/ERR2598064/ERR2598064.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2598064/ERR2598064.fastq.gz	1210102134	98349040e4006e3df0f222dcd3c91d92	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598064/5678sTS.Human.Liver.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598064/5678sTS.Human.Liver.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598064/5678sTS.Human.Liver.10w.Female.fastq.gz	FASTQ	901436808	7d6819ba6d5407293612a42355e35f2f	ftp.sra.ebi.ac.uk/vol1/err/ERR259/004/ERR2598064	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/004/ERR2598064	ftp.sra.ebi.ac.uk/vol1/err/ERR259/004/ERR2598064	E-MTAB-6814:5678sTS.Human.Liver.10w.Female	ArrayExpress	5678sTS.Human.Liver.10w.Female		2018-05-25
ERR2598059	ERP109002	SAMEA4689981	ERS2510165	ERX2614340	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	5709sTS.Human.Kidney.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	35546480	3590194480	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:5709sTS.Human.Kidney.10w.Female_s	E-MTAB-6814:5709sTS.Human.Kidney.10w.Female	1992087903	ab23031d4d81be61c883c544cedd128f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598059/ERR2598059.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/009/ERR2598059/ERR2598059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/009/ERR2598059/ERR2598059.fastq.gz	1849465503	d97112aa84c0f67f6b777ffaf8ee0873	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598059/5709sTS.Human.Kidney.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598059/5709sTS.Human.Kidney.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598059/5709sTS.Human.Kidney.10w.Female.fastq.gz	FASTQ	1308323673	fbfe9cc047879b5c51d8c1ac736d8993	ftp.sra.ebi.ac.uk/vol1/err/ERR259/009/ERR2598059	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/009/ERR2598059	ftp.sra.ebi.ac.uk/vol1/err/ERR259/009/ERR2598059	E-MTAB-6814:5709sTS.Human.Kidney.10w.Female	ArrayExpress	5709sTS.Human.Kidney.10w.Female		2018-05-25
ERR2598060	ERP109002	SAMEA4689982	ERS2510166	ERX2614341	PRJEB26969	ERA1500097	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	5930sTS.Human.Kidney.10w.Female_s		SINGLE	ssRNA-seq	TRANSCRIPTOMIC	PolyA	21657174	2187374574	University of Heidelberg	2019-02-18	2018-11-16	Illumina HiSeq 2500 sequencing: Human RNA-seq time-series of the development of seven major organs	Human RNA-seq time-series of the development of seven major organs	E-MTAB-6814	E-MTAB-6814:5930sTS.Human.Kidney.10w.Female_s	E-MTAB-6814:5930sTS.Human.Kidney.10w.Female	1262808627	99f488b8c8c0f0e7647ebc85d873ba3e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598060/ERR2598060.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR259/000/ERR2598060/ERR2598060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/000/ERR2598060/ERR2598060.fastq.gz	1173754315	1c62ae4cf4f5653879ab41920e63dcaf	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598060/5930sTS.Human.Kidney.10w.Female.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR259/ERR2598060/5930sTS.Human.Kidney.10w.Female.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR259/ERR2598060/5930sTS.Human.Kidney.10w.Female.fastq.gz	FASTQ	830973718	0f36a639b2aca47b4ad9fa76cca64ff5	ftp.sra.ebi.ac.uk/vol1/err/ERR259/000/ERR2598060	fasp.sra.ebi.ac.uk:/vol1/err/ERR259/000/ERR2598060	ftp.sra.ebi.ac.uk/vol1/err/ERR259/000/ERR2598060	E-MTAB-6814:5930sTS.Human.Kidney.10w.Female	ArrayExpress	5930sTS.Human.Kidney.10w.Female		2018-05-25
