run_accession	experiment_title	study_accession	aligned	sample_accession	altitude	assembly_quality	assembly_software	bam_aspera	bam_bytes	bam_ftp	bam_galaxy	bam_md5	base_count	binning_software	bio_material	bisulfite_protocol	broad_scale_environmental_context	broker_name	cage_protocol	cell_line	cell_type	center_name	checklist	chip_ab_provider	chip_protocol	chip_target	collected_by	collection_date	collection_date_end	collection_date_start	completeness_score	contamination_score	control_experiment	country	cultivar	culture_collection	depth	description	dev_stage	dnase_protocol	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_medium	environmental_sample	experiment_accession	experiment_alias	experiment_target	experimental_factor	experimental_protocol	extraction_protocol	faang_library_selection	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	file_location	first_created	first_public	germline	hi_c_protocol	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_scientific_name	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_gen_protocol	library_layout	library_max_fragment_size	library_min_fragment_size	library_name	library_pcr_isolation_protocol	library_prep_date	library_prep_date_format	library_prep_latitude	library_prep_location	library_prep_longitude	library_selection	library_source	library_strategy	local_environmental_context	location	location_end	location_start	lon	marine_region	mating_type	ncbi_reporting_standard	nominal_length	nominal_sdev	pcr_isolation_protocol	ph	project_name	protocol_label	read_count	read_strand	restriction_enzyme	restriction_enzyme_target_sequence	restriction_site	rna_integrity_num	rna_prep_3_protocol	rna_prep_5_protocol	rna_purity_230_ratio	rna_purity_280_ratio	rt_prep_protocol	run_alias	run_date	salinity	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_prep_interval	sample_prep_interval_units	sample_storage	sample_storage_processing	sample_title	replicate	DepMap_ID	CCLE_Name	cell_line_name	condition	PERT_TYPE	PERT_ENSEMBL	PERT_GENE	control_samples	pert_time	pert_time_units	pert_concentration	pert_concentration_units	sampling_campaign	sampling_platform	sampling_site	tax_id	scientific_name	secondary_project	secondary_sample_accession	secondary_study_accession	sequencing_date	sequencing_date_format	sequencing_location	sequencing_longitude	sequencing_method	sequencing_primer_catalog	sequencing_primer_lot	sequencing_primer_provider	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	status	strain	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_read_type	tag	target_gene	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	transposase_protocol	variety
SRR5579517	NextSeq 500 sequencing: GSM2633708: T47D_Ribociclib_3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149841									194578725							T47D		GEO																NextSeq 500 sequencing: GSM2633708: T47D_Ribociclib_3_6 Homo sapiens RNA-Seq										SRX2837619	GSM2633708						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/007/SRR5579517/SRR5579517.fastq.gz	116794007	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/007/SRR5579517/SRR5579517.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/007/SRR5579517/SRR5579517.fastq.gz	65aed96a03affd7b0a12670a2058ebd4		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		2594383											GSM2633708_r1			GSM2633708			T47D_Ribociclib_3_6						T47D_Ribociclib_3_6		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	3	micromolar				9606	Homo sapiens		SRS2211784	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/007/SRR5579517	78566749	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/007/SRR5579517	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/007/SRR5579517	d2001f89ed8e7dc7bf0720026d1a1741	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579518	NextSeq 500 sequencing: GSM2633708: T47D_Ribociclib_3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149841									201847800							T47D		GEO																NextSeq 500 sequencing: GSM2633708: T47D_Ribociclib_3_6 Homo sapiens RNA-Seq										SRX2837619	GSM2633708						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/008/SRR5579518/SRR5579518.fastq.gz	116076256	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/008/SRR5579518/SRR5579518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/008/SRR5579518/SRR5579518.fastq.gz	6e253b3f70f77c0d59addd274edc6d71		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		2691304											GSM2633708_r2			GSM2633708			T47D_Ribociclib_3_6						T47D_Ribociclib_3_6		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	3	micromolar				9606	Homo sapiens		SRS2211784	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/008/SRR5579518	77569095	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/008/SRR5579518	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/008/SRR5579518	8c5bb27628d683901fd47ee6cc006e84	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579421	NextSeq 500 sequencing: GSM2633660: T47D_Ribociclib_3_24 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149890									434227725							T47D		GEO																NextSeq 500 sequencing: GSM2633660: T47D_Ribociclib_3_24 Homo sapiens RNA-Seq										SRX2837571	GSM2633660						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/001/SRR5579421/SRR5579421.fastq.gz	258576421	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/001/SRR5579421/SRR5579421.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/001/SRR5579421/SRR5579421.fastq.gz	f7f69b79cb18cf383a675021c561e0c2		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		5789703											GSM2633660_r1			GSM2633660			T47D_Ribociclib_3_24						T47D_Ribociclib_3_24		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579407,SRR5579408	24	hours	3	micromolar				9606	Homo sapiens		SRS2211736	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/001/SRR5579421	173697465	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/001/SRR5579421	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/001/SRR5579421	49e08d4ba4e94f43c11d19aa2150dbde	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579422	NextSeq 500 sequencing: GSM2633660: T47D_Ribociclib_3_24 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149890									450013050							T47D		GEO																NextSeq 500 sequencing: GSM2633660: T47D_Ribociclib_3_24 Homo sapiens RNA-Seq										SRX2837571	GSM2633660						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/002/SRR5579422/SRR5579422.fastq.gz	256409521	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/002/SRR5579422/SRR5579422.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/002/SRR5579422/SRR5579422.fastq.gz	aa2d5e491c463fa146f373f1f2f92207		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		6000174											GSM2633660_r2			GSM2633660			T47D_Ribociclib_3_24						T47D_Ribociclib_3_24		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579407,SRR5579408	24	hours	3	micromolar				9606	Homo sapiens		SRS2211736	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/002/SRR5579422	171079759	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/002/SRR5579422	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/002/SRR5579422	fb62d7b6c30fac1cd4a75884b0f818cd	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579515	NextSeq 500 sequencing: GSM2633707: T47D_Ribociclib_0.3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149842									236245125							T47D		GEO																NextSeq 500 sequencing: GSM2633707: T47D_Ribociclib_0.3_6 Homo sapiens RNA-Seq										SRX2837618	GSM2633707						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/005/SRR5579515/SRR5579515.fastq.gz	140838884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/005/SRR5579515/SRR5579515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/005/SRR5579515/SRR5579515.fastq.gz	dfc24c116b942e0d6cc6ec9a1fc00506		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		3149935											GSM2633707_r1			GSM2633707			T47D_Ribociclib_0.3_6						T47D_Ribociclib_0.3_6		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	0.3	micromolar				9606	Homo sapiens		SRS2211783	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/005/SRR5579515	94675214	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/005/SRR5579515	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/005/SRR5579515	cef9ff786e6ec832b5c413cc0b871297	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579516	NextSeq 500 sequencing: GSM2633707: T47D_Ribociclib_0.3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149842									244131075							T47D		GEO																NextSeq 500 sequencing: GSM2633707: T47D_Ribociclib_0.3_6 Homo sapiens RNA-Seq										SRX2837618	GSM2633707						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/006/SRR5579516/SRR5579516.fastq.gz	139213934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/006/SRR5579516/SRR5579516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/006/SRR5579516/SRR5579516.fastq.gz	145d6ed33a008c0ba9f0544ff5294e79		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		3255081											GSM2633707_r2			GSM2633707			T47D_Ribociclib_0.3_6						T47D_Ribociclib_0.3_6		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	0.3	micromolar				9606	Homo sapiens		SRS2211783	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/006/SRR5579516	92957028	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/006/SRR5579516	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/006/SRR5579516	f2cd3f604494cffac6d32fbb816ca886	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579419	NextSeq 500 sequencing: GSM2633659: T47D_Ribociclib_0.3_24 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149891									664454700							T47D		GEO																NextSeq 500 sequencing: GSM2633659: T47D_Ribociclib_0.3_24 Homo sapiens RNA-Seq										SRX2837570	GSM2633659						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/009/SRR5579419/SRR5579419.fastq.gz	396142504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/009/SRR5579419/SRR5579419.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/009/SRR5579419/SRR5579419.fastq.gz	421c5e7aff25e000f155ac570b5672f4		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		8859396											GSM2633659_r1			GSM2633659			T47D_Ribociclib_0.3_24						T47D_Ribociclib_0.3_24		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579407,SRR5579408	24	hours	0.3	micromolar				9606	Homo sapiens		SRS2211735	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/009/SRR5579419	266009355	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/009/SRR5579419	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/009/SRR5579419	971affd8e7807482fb9b7d3c1f4b2c6e	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579420	NextSeq 500 sequencing: GSM2633659: T47D_Ribociclib_0.3_24 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149891									688519350							T47D		GEO																NextSeq 500 sequencing: GSM2633659: T47D_Ribociclib_0.3_24 Homo sapiens RNA-Seq										SRX2837570	GSM2633659						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/000/SRR5579420/SRR5579420.fastq.gz	392457217	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/000/SRR5579420/SRR5579420.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/000/SRR5579420/SRR5579420.fastq.gz	5c5c72c1ef2f00b971e6af10bd78e29e		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		9180258											GSM2633659_r2			GSM2633659			T47D_Ribociclib_0.3_24						T47D_Ribociclib_0.3_24		ACH-000147	T47D_BREAST	T47D_BREAST	RIBOCICLIB	DRUG			SRR5579407,SRR5579408	24	hours	0.3	micromolar				9606	Homo sapiens		SRS2211735	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/000/SRR5579420	261705307	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/000/SRR5579420	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/000/SRR5579420	87ade91ada494b132194ce6771a16c18	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579513	NextSeq 500 sequencing: GSM2633706: T47D_Palbociclib_3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149843									339849150							T47D		GEO																NextSeq 500 sequencing: GSM2633706: T47D_Palbociclib_3_6 Homo sapiens RNA-Seq										SRX2837617	GSM2633706						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/003/SRR5579513/SRR5579513.fastq.gz	202487045	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/003/SRR5579513/SRR5579513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/003/SRR5579513/SRR5579513.fastq.gz	07dfebe7ddbe1c8755f0afcff05ea08e		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		4531322											GSM2633706_r1			GSM2633706			T47D_Palbociclib_3_6						T47D_Palbociclib_3_6		ACH-000147	T47D_BREAST	T47D_BREAST	PALBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	3	micromolar				9606	Homo sapiens		SRS2211782	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/003/SRR5579513	136048879	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/003/SRR5579513	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/003/SRR5579513	ea813f2f567cb42d4759df90aa66a9a8	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
SRR5579514	NextSeq 500 sequencing: GSM2633706: T47D_Palbociclib_3_6 Homo sapiens RNA-Seq	PRJNA387311		SAMN07149843									350692425							T47D		GEO																NextSeq 500 sequencing: GSM2633706: T47D_Palbociclib_3_6 Homo sapiens RNA-Seq										SRX2837617	GSM2633706						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR557/004/SRR5579514/SRR5579514.fastq.gz	199915835	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/004/SRR5579514/SRR5579514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/004/SRR5579514/SRR5579514.fastq.gz	dc5815181d8fc12cd6d640976042607c		2019-06-30	2019-06-30														NextSeq 500	ILLUMINA				2019-06-30		RNA was extracted using Applied Biosystems MagMax 96 total RNA isolation kit (AM1830) with DNase digestion according to the manufacturer’s protocol. Libraries were prepared using Illumina TruSeq Stranded mRNA sample preparation kit (RS-122-2103) from 500 ng of purified total RNA according to the manufacturer’s protocol in a reduced reaction volume.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		4675899											GSM2633706_r2			GSM2633706			T47D_Palbociclib_3_6						T47D_Palbociclib_3_6		ACH-000147	T47D_BREAST	T47D_BREAST	PALBOCICLIB	DRUG			SRR5579503,SRR5579504	6	hours	3	micromolar				9606	Homo sapiens		SRS2211782	SRP107565													fasp.sra.ebi.ac.uk:/vol1/srr/SRR557/004/SRR5579514	133411643	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/004/SRR5579514	ftp.sra.ebi.ac.uk/vol1/srr/SRR557/004/SRR5579514	d6e2d0053257550e902771d5c0d1ef42	public		GSE99116	Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.			SRA563064										ena								
