run_accession	experiment_title	study_accession	aligned	sample_accession	altitude	assembly_quality	assembly_software	bam_aspera	bam_bytes	bam_ftp	bam_galaxy	bam_md5	base_count	binning_software	bio_material	bisulfite_protocol	broad_scale_environmental_context	broker_name	cage_protocol	cell_line	cell_type	center_name	checklist	chip_ab_provider	chip_protocol	chip_target	collected_by	collection_date	collection_date_end	collection_date_start	completeness_score	contamination_score	control_experiment	country	cultivar	culture_collection	depth	description	dev_stage	dnase_protocol	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_medium	environmental_sample	experiment_accession	experiment_alias	experiment_target	experimental_factor	experimental_protocol	extraction_protocol	faang_library_selection	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	file_location	first_created	first_public	germline	hi_c_protocol	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_scientific_name	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_gen_protocol	library_layout	library_max_fragment_size	library_min_fragment_size	library_name	library_pcr_isolation_protocol	library_prep_date	library_prep_date_format	library_prep_latitude	library_prep_location	library_prep_longitude	library_selection	library_source	library_strategy	local_environmental_context	location	location_end	location_start	lon	marine_region	mating_type	ncbi_reporting_standard	nominal_length	nominal_sdev	pcr_isolation_protocol	ph	project_name	protocol_label	read_count	read_strand	restriction_enzyme	restriction_enzyme_target_sequence	restriction_site	rna_integrity_num	rna_prep_3_protocol	rna_prep_5_protocol	rna_purity_230_ratio	rna_purity_280_ratio	rt_prep_protocol	run_alias	run_date	salinity	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_prep_interval	sample_prep_interval_units	sample_storage	sample_storage_processing	sample_title	cell_line_name	replicate	condition	PERT_TYPE	PERT_ENSEMBL	PERT_GENE	control_samples	pert_time	pert_time_units	pert_concentration	pert_concentration_units	sampling_campaign	sampling_platform	sampling_site	tax_id	scientific_name	secondary_project	secondary_sample_accession	secondary_study_accession	sequencing_date	sequencing_date_format	sequencing_location	sequencing_longitude	sequencing_method	sequencing_primer_catalog	sequencing_primer_lot	sequencing_primer_provider	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	status	strain	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_read_type	tag	target_gene	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	transposase_protocol	variety
SRR6726573	Illumina HiSeq 2500 sequencing: GSM3004143: CTRL_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536477									672129500									GEO																Illumina HiSeq 2500 sequencing: GSM3004143: CTRL_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699590	GSM3004143						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/003/SRR6726573/SRR6726573.fastq.gz	383456543	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/003/SRR6726573/SRR6726573.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/003/SRR6726573/SRR6726573.fastq.gz	e8c88a1ac79e2ddd0377a3ea14505132		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		13442590											GSM3004143_r1			GSM3004143			CTRL_1_130d (techn. Rep. 1)						CTRL_1_130d (techn. Rep. 1)	ORGANOID_GBM	1	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959064	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/003/SRR6726573	232590428	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/003/SRR6726573	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/003/SRR6726573	05306b97c60f6c02b11e980feb662848	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726591	Illumina HiSeq 2500 sequencing: GSM3004161: CTRL_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536465									671282900									GEO																Illumina HiSeq 2500 sequencing: GSM3004161: CTRL_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699606	GSM3004161						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/001/SRR6726591/SRR6726591.fastq.gz	384413681	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/001/SRR6726591/SRR6726591.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/001/SRR6726591/SRR6726591.fastq.gz	abf09a812d302e020c6629d7811d0ebd		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		13425658											GSM3004161_r1			GSM3004161			CTRL_1_130d (techn. Rep. 2)						CTRL_1_130d (techn. Rep. 2)	ORGANOID_GBM	1	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959080	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/001/SRR6726591	233863220	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/001/SRR6726591	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/001/SRR6726591	5c560297ce9f3592127bf37de531d761	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR5837557	Illumina HiSeq 2500 sequencing: GSM2706319: CTRL_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361739									851850050									GEO																Illumina HiSeq 2500 sequencing: GSM2706319: CTRL_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014038	GSM2706319						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/007/SRR5837557/SRR5837557.fastq.gz	490441429	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5837557/SRR5837557.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5837557/SRR5837557.fastq.gz	a394cab34fd5b337af53a2fe8c467508		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		17037001											GSM2706319_r1			GSM2706319			CTRL_1_45d (techn. Rep. 1)						CTRL_1_45d (techn. Rep. 1)	ORGANOID_GBM	1	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363630	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/007/SRR5837557	298084065	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/007/SRR5837557	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/007/SRR5837557	a3d1934c2e34047d33fbed282019abff	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837570	Illumina HiSeq 2500 sequencing: GSM2706332: CTRL_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361752									893282550									GEO																Illumina HiSeq 2500 sequencing: GSM2706332: CTRL_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014051	GSM2706332						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/000/SRR5837570/SRR5837570.fastq.gz	522517368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5837570/SRR5837570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5837570/SRR5837570.fastq.gz	9ee465a2edfc45f9b5d2f2a2dbaff879		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		17865651											GSM2706332_r1			GSM2706332			CTRL_1_45d (techn. Rep. 2)						CTRL_1_45d (techn. Rep. 2)	ORGANOID_GBM	1	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363642	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/000/SRR5837570	318874057	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/000/SRR5837570	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/000/SRR5837570	e4d0c64edf045985b357363fb32062e8	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR6726574	Illumina HiSeq 2500 sequencing: GSM3004144: CTRL_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536483									727168950									GEO																Illumina HiSeq 2500 sequencing: GSM3004144: CTRL_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699591	GSM3004144						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/004/SRR6726574/SRR6726574.fastq.gz	420342337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/004/SRR6726574/SRR6726574.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/004/SRR6726574/SRR6726574.fastq.gz	761ffb8e2356618317f5ee4ecfd3c3cd		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		14543379											GSM3004144_r1			GSM3004144			CTRL_2_130d (techn. Rep. 1)						CTRL_2_130d (techn. Rep. 1)	ORGANOID_GBM	2	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959065	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/004/SRR6726574	255630726	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/004/SRR6726574	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/004/SRR6726574	d413ea4c752ebb563cf2cba7dc76466b	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726592	Illumina HiSeq 2500 sequencing: GSM3004162: CTRL_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536464									727288750									GEO																Illumina HiSeq 2500 sequencing: GSM3004162: CTRL_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699607	GSM3004162						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/002/SRR6726592/SRR6726592.fastq.gz	422003833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/002/SRR6726592/SRR6726592.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/002/SRR6726592/SRR6726592.fastq.gz	e44cc80ee4807f69bd8a44a61f419cf2		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		14545775											GSM3004162_r1			GSM3004162			CTRL_2_130d (techn. Rep. 2)						CTRL_2_130d (techn. Rep. 2)	ORGANOID_GBM	2	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959081	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/002/SRR6726592	257320175	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/002/SRR6726592	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/002/SRR6726592	243d003f50df9c1f7f5710b7ccb81b13	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR5837558	Illumina HiSeq 2500 sequencing: GSM2706320: CTRL_2_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361764									823894700									GEO																Illumina HiSeq 2500 sequencing: GSM2706320: CTRL_2_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014039	GSM2706320						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/008/SRR5837558/SRR5837558.fastq.gz	474649950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5837558/SRR5837558.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5837558/SRR5837558.fastq.gz	520ad48750bf936e73037d563c764736		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		16477894											GSM2706320_r1			GSM2706320			CTRL_2_45d (techn. Rep. 1)						CTRL_2_45d (techn. Rep. 1)	ORGANOID_GBM	2	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363631	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/008/SRR5837558	290012626	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/008/SRR5837558	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/008/SRR5837558	44cf6b448b661f1fc9d45353a883af09	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837571	Illumina HiSeq 2500 sequencing: GSM2706333: CTRL_2_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361751									861877150									GEO																Illumina HiSeq 2500 sequencing: GSM2706333: CTRL_2_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014052	GSM2706333						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/001/SRR5837571/SRR5837571.fastq.gz	504542292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5837571/SRR5837571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5837571/SRR5837571.fastq.gz	fdc752f598494f87ca0b0ca99444a322		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		17237543											GSM2706333_r1			GSM2706333			CTRL_2_45d (techn. Rep. 2)						CTRL_2_45d (techn. Rep. 2)	ORGANOID_GBM	2	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363643	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/001/SRR5837571	309537141	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/001/SRR5837571	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/001/SRR5837571	e3c99de2ff8931d7709f1c2e823361cc	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR6726575	Illumina HiSeq 2500 sequencing: GSM3004145: CTRL_3_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536482									732404450									GEO																Illumina HiSeq 2500 sequencing: GSM3004145: CTRL_3_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699592	GSM3004145						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/005/SRR6726575/SRR6726575.fastq.gz	424148821	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/005/SRR6726575/SRR6726575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/005/SRR6726575/SRR6726575.fastq.gz	1112ffb08bdbffb4272ed6383f2bf9a9		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		14648089											GSM3004145_r1			GSM3004145			CTRL_3_130d (techn. Rep. 1)						CTRL_3_130d (techn. Rep. 1)	ORGANOID_GBM	3	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959066	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/005/SRR6726575	257880216	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/005/SRR6726575	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/005/SRR6726575	987cb52a3373cb3cb183ecf83e1b0264	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726593	Illumina HiSeq 2500 sequencing: GSM3004163: CTRL_3_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536463									731629050									GEO																Illumina HiSeq 2500 sequencing: GSM3004163: CTRL_3_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699608	GSM3004163						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/003/SRR6726593/SRR6726593.fastq.gz	425449022	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/003/SRR6726593/SRR6726593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/003/SRR6726593/SRR6726593.fastq.gz	8d01d1064991d969900b7e6037ea3046		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		14632581											GSM3004163_r1			GSM3004163			CTRL_3_130d (techn. Rep. 2)						CTRL_3_130d (techn. Rep. 2)	ORGANOID_GBM	3	CONTROL	CONTROL			SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959083	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/003/SRR6726593	259379541	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/003/SRR6726593	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/003/SRR6726593	92ca0fbd0b9fc2d24e1fb9ad0feb8d98	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
