study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA523380	SAMN10988035	SRS4395289	SRX5414209	SRR8615031	9606	Homo sapiens	TERTp-HCC366_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	158523	Illumina MiSeq sequencing; TERTp of HCC366_LUNG	HCC-366.bam	9023519;12123149	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615031/SRR8615031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615031/SRR8615031_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615031	HCC366_LUNG	HCC366_LUNG
PRJNA523380	SAMN10988526	SRS4395288	SRX5414208	SRR8615032	9606	Homo sapiens	TERTp-HCC4006_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	187070	Illumina MiSeq sequencing; TERTp of HCC4006_LUNG	HCC4006.bam	11017189;14475364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615032/SRR8615032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615032/SRR8615032_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615032	HCC4006_LUNG	HCC4006_LUNG
PRJNA523380	SAMN10988141	SRS4395287	SRX5414207	SRR8615033	9606	Homo sapiens	TERTp-HCC56_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	131362	Illumina MiSeq sequencing; TERTp of HCC56_LARGE_INTESTINE	HCC-56.bam	7773624;10209268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615033	HCC56_LARGE_INTESTINE	HCC56_LARGE_INTESTINE
PRJNA523380	SAMN10988287	SRS4395286	SRX5414206	SRR8615034	9606	Homo sapiens	TERTp-HCC78_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	128373	Illumina MiSeq sequencing; TERTp of HCC78_LUNG	HCC-78.bam	7530079;9978815	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615034	HCC78_LUNG	HCC78_LUNG
PRJNA523380	SAMN10989587	SRS4395285	SRX5414205	SRR8615035	9606	Homo sapiens	TERTp-HOP62_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	163122	Illumina MiSeq sequencing; TERTp of HOP62_LUNG	HOP-62.bam	8058229;12501315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615035	HOP62_LUNG	HOP62_LUNG
PRJNA523380	SAMN10989594	SRS4395284	SRX5414204	SRR8615036	9606	Homo sapiens	TERTp-HOP92_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	109787	Illumina MiSeq sequencing; TERTp of HOP92_LUNG	HOP-92.bam	6085459;8520305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615036/SRR8615036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615036/SRR8615036_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615036	HOP92_LUNG	HOP92_LUNG
PRJNA523380	SAMN10988156	SRS4395283	SRX5414203	SRR8615037	9606	Homo sapiens	TERTp-HS229T_FIBROBLAST	PAIRED	AMPLICON	GENOMIC	PCR	198058	Illumina MiSeq sequencing; TERTp of HS229T_FIBROBLAST	Hs_229.T.bam	11527487;15351231	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615037/SRR8615037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615037/SRR8615037_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615037	HS229T_FIBROBLAST	HS229T_FIBROBLAST
PRJNA523380	SAMN10987994	SRS4395282	SRX5414202	SRR8615038	9606	Homo sapiens	TERTp-HS255T_FIBROBLAST	PAIRED	AMPLICON	GENOMIC	PCR	84064	Illumina MiSeq sequencing; TERTp of HS255T_FIBROBLAST	Hs_255.T.bam	5011332;6550965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615038/SRR8615038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615038/SRR8615038_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615038	HS255T_FIBROBLAST	HS255T_FIBROBLAST
PRJNA523380	SAMN10988168	SRS4395281	SRX5414201	SRR8615039	9606	Homo sapiens	TERTp-HS600T_FIBROBLAST	PAIRED	AMPLICON	GENOMIC	PCR	168676	Illumina MiSeq sequencing; TERTp of HS600T_FIBROBLAST	Hs_600.T.bam	9573357;12942899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615039/SRR8615039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615039/SRR8615039_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615039	HS600T_FIBROBLAST	HS600T_FIBROBLAST
PRJNA523380	SAMN10987679	SRS4395280	SRX5414200	SRR8615040	9606	Homo sapiens	TERTp-HS618T_FIBROBLAST	PAIRED	AMPLICON	GENOMIC	PCR	51294	Illumina MiSeq sequencing; TERTp of HS618T_FIBROBLAST	Hs_618.T.bam	3694737;4204534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615040/SRR8615040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615040/SRR8615040_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615040	HS618T_FIBROBLAST	HS618T_FIBROBLAST
PRJNA523380	SAMN10988075	SRS4395279	SRX5414199	SRR8615041	9606	Homo sapiens	TERTp-NCIH854_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	193368	Illumina MiSeq sequencing; TERTp of NCIH854_LUNG	NCI-H854.bam	8999159;14348280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615041/SRR8615041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615041/SRR8615041_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615041	NCIH854_LUNG	NCIH854_LUNG
PRJNA523380	SAMN10987804	SRS4395278	SRX5414198	SRR8615042	9606	Homo sapiens	TERTp-NCIH810_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	232956	Illumina MiSeq sequencing; TERTp of NCIH810_LUNG	NCI-H810.bam	13081808;17856519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615042	NCIH810_LUNG	NCIH810_LUNG
PRJNA523380	SAMN10988551	SRS4395277	SRX5414197	SRR8615043	9606	Homo sapiens	TERTp-NCIH727_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	112358	Illumina MiSeq sequencing; TERTp of NCIH727_LUNG	NCI-H727.bam	6914937;8778005	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615043/SRR8615043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615043/SRR8615043_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615043	NCIH727_LUNG	NCIH727_LUNG
PRJNA523380	SAMN10987641	SRS4395276	SRX5414196	SRR8615044	9606	Homo sapiens	TERTp-NCIH716_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	168620	Illumina MiSeq sequencing; TERTp of NCIH716_LARGE_INTESTINE	NCI-H716.bam	9622227;12998478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615044/SRR8615044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615044/SRR8615044_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615044	NCIH716_LARGE_INTESTINE	NCIH716_LARGE_INTESTINE
PRJNA523380	SAMN10988271	SRS4395275	SRX5414195	SRR8615045	9606	Homo sapiens	TERTp-NCIH647_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	132327	Illumina MiSeq sequencing; TERTp of NCIH647_LUNG	NCI-H647.bam	8751895;10544724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615045/SRR8615045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615045/SRR8615045_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615045	NCIH647_LUNG	NCIH647_LUNG
PRJNA523380	SAMN10988237	SRS4395274	SRX5414194	SRR8615046	9606	Homo sapiens	TERTp-NCIH441_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	170755	Illumina MiSeq sequencing; TERTp of NCIH441_LUNG	NCI-H441.bam	10072805;13226899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615046/SRR8615046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615046/SRR8615046_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615046	NCIH441_LUNG	NCIH441_LUNG
PRJNA523380	SAMN10987678	SRS4395273	SRX5414193	SRR8615047	9606	Homo sapiens	TERTp-NCIH322_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	166882	Illumina MiSeq sequencing; TERTp of NCIH322_LUNG	NCI-H322.bam	10400525;13057832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615047	NCIH322_LUNG	NCIH322_LUNG
PRJNA523380	SAMN10988040	SRS4395272	SRX5414192	SRR8615048	9606	Homo sapiens	TERTp-NCIH292_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	212314	Illumina MiSeq sequencing; TERTp of NCIH292_LUNG	NCI-H292.bam	10038253;16064669	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615048	NCIH292_LUNG	NCIH292_LUNG
PRJNA523380	SAMN10987612	SRS4395271	SRX5414191	SRR8615049	9606	Homo sapiens	TERTp-NCIH28_PLEURA	PAIRED	AMPLICON	GENOMIC	PCR	156604	Illumina MiSeq sequencing; TERTp of NCIH28_PLEURA	NCI-H28.bam	8718079;11970006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615049	NCIH28_PLEURA	NCIH28_PLEURA
PRJNA523380	SAMN10988138	SRS4395270	SRX5414190	SRR8615050	9606	Homo sapiens	TERTp-NCIH2452_PLEURA	PAIRED	AMPLICON	GENOMIC	PCR	137146	Illumina MiSeq sequencing; TERTp of NCIH2452_PLEURA	NCI-H2452.bam	6289482;10341779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615050/SRR8615050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615050/SRR8615050_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615050	NCIH2452_PLEURA	NCIH2452_PLEURA
PRJNA523380	SAMN10988322	SRS4395269	SRX5414189	SRR8615051	9606	Homo sapiens	TERTp-LS1034_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	84813	Illumina MiSeq sequencing; TERTp of LS1034_LARGE_INTESTINE	LS1034.bam	5000622;6704687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615051/SRR8615051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615051/SRR8615051_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615051	LS1034_LARGE_INTESTINE	LS1034_LARGE_INTESTINE
PRJNA523380	SAMN10988231	SRS4395268	SRX5414188	SRR8615052	9606	Homo sapiens	TERTp-LOUNH91_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	21264	Illumina MiSeq sequencing; TERTp of LOUNH91_LUNG	LOU-NH91.bam	1542371;1728961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615052/SRR8615052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615052/SRR8615052_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615052	LOUNH91_LUNG	LOUNH91_LUNG
PRJNA523380	SAMN10988572	SRS4395267	SRX5414187	SRR8615053	9606	Homo sapiens	TERTp-LCLC97TM1_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	96939	Illumina MiSeq sequencing; TERTp of LCLC97TM1_LUNG	LCLC-97TM1.bam	5937459;7575455	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615053/SRR8615053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615053/SRR8615053_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615053	LCLC97TM1_LUNG	LCLC97TM1_LUNG
