accession	altitude	assembly_quality	assembly_software	base_count	binning_software	bio_material	broker_name	cell_line	cell_type	center_name	checklist	collected_by	collection_date	collection_date_submitted	completeness_score	contamination_score	country	cram_index_aspera	cram_index_ftp	cram_index_galaxy	cultivar	culture_collection	depth	description	dev_stage	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_package	environmental_sample	experiment_accession	experiment_alias	experiment_title	experimental_factor	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	germline	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_layout	library_name	library_selection	library_source	library_strategy	location	lon	mating_type	nominal_length	nominal_sdev	parent_study	ph	project_name	protocol_label	read_count	run_accession	run_alias	salinity	sample_accession	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_title	replicate	developmental_stage	cell_type_name	cell_line_name	condition	timepoint	timepoint_units	sampling_campaign	sampling_platform	sampling_site	scientific_name	secondary_sample_accession	secondary_study_accession	sequencing_method	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	strain	study_accession	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_sex	target_gene	tax_id	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	variety
SAMN13618423				10845879748				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413964	R16-011_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_2.fastq.gz	2776736027;3199870096	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10738263/SRR10738263_2.fastq.gz	6ee80c5c6b7276cf8ef0f6257caa2d86;cc3b660dc469c97105f6c72e6e5d7c7d	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-011_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										53692474	SRR10738263	R16-011_H5H27BBXX_S31_L004_R1_001.fastq.gz		SAMN13618423	R16-011_H5H27BBXX			R16-011		R16-011				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860833	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/063/SRR10738263	4314103015	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/063/SRR10738263	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/063/SRR10738263	0511940bc1d7ff1c97a1fdecc13a2431		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618422				9223670874				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413953	R16-010_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_2.fastq.gz	2329997293;2641498536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/074/SRR10738274/SRR10738274_2.fastq.gz	f87e8bb35d6670beb1add30e4e7a48a2;46f1479699bff6f054dbaff9a383c0cc	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-010_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										45661737	SRR10738274	R16-010_H5H27BBXX_S54_L007_R1_001.fastq.gz		SAMN13618422	R16-010_H5H27BBXX			R16-010		R16-010				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860821	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/074/SRR10738274	3640699212	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/074/SRR10738274	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/074/SRR10738274	ae126c638fec3b86bfe6ea7d4e8ad38f		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618438				8532453942				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413912	R16-032_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_2.fastq.gz	2044045220;2343896385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/015/SRR10738315/SRR10738315_2.fastq.gz	ca2b79522c11eefbd67d6fa27c0c1620;49edd0a2b44b6d763dc9a9c19be9a936	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-032_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										42239871	SRR10738315	R16-032_H5H27BBXX_S53_L007_R1_001.fastq.gz		SAMN13618438	R16-032_H5H27BBXX			R16-032		R16-032				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860778	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/015/SRR10738315	3365709820	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/015/SRR10738315	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/015/SRR10738315	681994c44c7d3abdd622f682f92aac6d		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618437				8063845656				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413911	R16-031_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_2.fastq.gz	1931318344;2233001880	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/016/SRR10738316/SRR10738316_2.fastq.gz	6943489d4121bba85c10c3bfa38705d2;b05ba17f6c05e696ef59942a3b471313	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-031_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										39920028	SRR10738316	R16-031_H5H27BBXX_S37_L005_R1_001.fastq.gz		SAMN13618437	R16-031_H5H27BBXX			R16-031		R16-031				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860777	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/016/SRR10738316	3205034595	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/016/SRR10738316	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/016/SRR10738316	6baaf3d1d16a006d177f5f4f3b63b2ee		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618431				9792142102				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413897	R16-023_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_2.fastq.gz	2402767425;2796414563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/030/SRR10738330/SRR10738330_2.fastq.gz	a762042aa10ef09931c8ab92f10d123f;d95e2c99ee06db6dc0c2aba800fd53bf	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-023_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										48475951	SRR10738330	R16-023_H5H27BBXX_S29_L004_R1_001.fastq.gz		SAMN13618431	R16-023_H5H27BBXX			R16-023		R16-023				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860763	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/030/SRR10738330	3905093016	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/030/SRR10738330	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/030/SRR10738330	1c7f927a08cae752bf2c511e7e727db5		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618430				10598958786				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413886	R16-022_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_2.fastq.gz	2615179558;3019536410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738341/SRR10738341_2.fastq.gz	aa1e16e21ae69af7a5cf49a7142d7e58;24d4d62e19bcb61ecc58294e571ba467	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-022_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										52470093	SRR10738341	R16-022_H5H27BBXX_S18_L003_R1_001.fastq.gz		SAMN13618430	R16-022_H5H27BBXX			R16-022		R16-022				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860755	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/041/SRR10738341	4248264486	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/041/SRR10738341	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/041/SRR10738341	9a4c8e62264f982204d8b39b68eea113		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618528				13176660586				90-A-5	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413856	R16-689_H7V3JBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_2.fastq.gz	3110379790;3375332168	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10738371/SRR10738371_2.fastq.gz	15c58c6faee89764ebc4902e1b097752;bb658c389e8c6c3f2a0947f1b36e006f	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-5		12/20/19			PAIRED	R16-689_H7V3JBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										65230993	SRR10738371	R16-689_H7V3JBBXX_S36_L006_R1_001.fastq.gz		SAMN13618528	R16-689_H7V3JBBXX			R16-689		R16-689				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860727	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/071/SRR10738371	4717883650	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/071/SRR10738371	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/071/SRR10738371	09f7081c7e0a648a76f4b5222fba3b83		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618462				10278301562				90-A-10	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413938	R16-064_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_2.fastq.gz	2452668591;2770981069	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/089/SRR10738289/SRR10738289_2.fastq.gz	8240d27675393c818e955342e7a7f4df;c2b932b2dd4b9269b2e1f526165c64b8	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-10		12/20/19			PAIRED	R16-064_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										50882681	SRR10738289	R16-064_H5H27BBXX_S63_L008_R1_001.fastq.gz		SAMN13618462	R16-064_H5H27BBXX			R16-064		R16-064				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860807	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/089/SRR10738289	3905617899	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/089/SRR10738289	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/089/SRR10738289	8996e32c60b8d9038bb1fffed2665a08		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618458				11055817742				90-A-10	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413934	R16-054_H7VMYBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_2.fastq.gz	2838187911;3221604630	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/093/SRR10738293/SRR10738293_2.fastq.gz	bd05a7384e54c28281e5499e1476de2a;ccdda8586be5839aa8969129f9d44e6a	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-10		12/20/19			PAIRED	R16-054_H7VMYBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										54731771	SRR10738293	R16-054_H7VMYBBXX_S40_L006_R1_001.fastq.gz		SAMN13618458	R16-054_H7VMYBBXX			R16-054		R16-054				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860800	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/093/SRR10738293	4377606558	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/093/SRR10738293	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/093/SRR10738293	839c128b68ea88c0926473002eda00d7		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618457				11235272118				90-A-10	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413933	R16-054_H7VHFBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_2.fastq.gz	2675645324;2897158817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/094/SRR10738294/SRR10738294_2.fastq.gz	16888d72522c0aa8c76e9826e705d436;af154d514095beb22a57e5fdd5df0f94	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		90-A-10		12/20/19			PAIRED	R16-054_H7VHFBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										55620159	SRR10738294	R16-054_H7VHFBBXX_S31_L005_R1_001.fastq.gz		SAMN13618457	R16-054_H7VHFBBXX			R16-054		R16-054				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860804	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/094/SRR10738294	4042696196	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/094/SRR10738294	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/094/SRR10738294	2f3c6ad9230feb108bfc178780fd7947		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
