"accession"	"altitude"	"assembly_quality"	"assembly_software"	"base_count"	"binning_software"	"bio_material"	"broker_name"	"cell_line"	"cell_type"	"center_name"	"checklist"	"collected_by"	"collection_date"	"collection_date_submitted"	"completeness_score"	"contamination_score"	"country"	"cram_index_aspera"	"cram_index_ftp"	"cram_index_galaxy"	"cultivar"	"culture_collection"	"depth"	"description"	"dev_stage"	"ecotype"	"elevation"	"environment_biome"	"environment_feature"	"environment_material"	"environmental_package"	"environmental_sample"	"experiment_accession"	"experiment_alias"	"experiment_title"	"experimental_factor"	"fastq_aspera"	"fastq_bytes"	"fastq_ftp"	"fastq_galaxy"	"fastq_md5"	"first_created"	"first_public"	"germline"	"host"	"host_body_site"	"host_genotype"	"host_gravidity"	"host_growth_conditions"	"host_phenotype"	"host_sex"	"host_status"	"host_tax_id"	"identified_by"	"instrument_model"	"instrument_platform"	"investigation_type"	"isolate"	"isolation_source"	"last_updated"	"lat"	"library_construction_protocol"	"library_layout"	"library_name"	"library_selection"	"library_source"	"library_strategy"	"location"	"lon"	"mating_type"	"nominal_length"	"nominal_sdev"	"parent_study"	"ph"	"project_name"	"protocol_label"	"read_count"	"run_accession"	"run_alias"	"salinity"	"sample_accession"	"sample_alias"	"sample_capture_status"	"sample_collection"	"sample_description"	"sample_material"	"sample_title"	"replicate"	"DepMap_ID"	"CCLE_Name"	"cell_line_name"	"condition"	"pert_concentration"	"pert_concentration_units"	"pert_time"	"pert_time_units"	"sampling_campaign"	"sampling_platform"	"sampling_site"	"scientific_name"	"secondary_sample_accession"	"secondary_study_accession"	"sequencing_method"	"serotype"	"serovar"	"sex"	"specimen_voucher"	"sra_aspera"	"sra_bytes"	"sra_ftp"	"sra_galaxy"	"sra_md5"	"strain"	"study_accession"	"study_alias"	"study_title"	"sub_species"	"sub_strain"	"submission_accession"	"submission_tool"	"submitted_aspera"	"submitted_bytes"	"submitted_format"	"submitted_ftp"	"submitted_galaxy"	"submitted_host_sex"	"submitted_md5"	"submitted_sex"	"target_gene"	"tax_id"	"taxonomic_classification"	"taxonomic_identity_marker"	"temperature"	"tissue_lib"	"tissue_type"	"variety"
"SAMN03988836"				2572432503				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853545: DMSO_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146021"	"GSM1853545"	"Illumina HiSeq 2500 sequencing; GSM1853545: DMSO_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/007/SRR2159397/SRR2159397.fastq.gz"	1841541573	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2159397/SRR2159397.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2159397/SRR2159397.fastq.gz"	"760e569670b7f20e1ee8d450f2dcb58d"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2019-10-07		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				50439853	"SRR2159397"	"GSM1853545_r1"		"SAMN03988836"	"GSM1853545"			"DMSO_rep1"		"DMSO_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"DMSO"								"Homo sapiens"	"SRS1030669"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/007/SRR2159397"	1161234788	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2159397"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2159397"	"1792a0a34c1a67e4eff19ee0bdc894b8"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988837"				2411715642				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853551: DMSO_rep2; Homo sapiens; RNA-Seq"								"false"	"SRX1146022"	"GSM1853551"	"Illumina HiSeq 2500 sequencing; GSM1853551: DMSO_rep2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/008/SRR2159398/SRR2159398.fastq.gz"	1720451088	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2159398/SRR2159398.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2159398/SRR2159398.fastq.gz"	"d33ce96b65ee61d7c2c5038a2f5b923e"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				47288542	"SRR2159398"	"GSM1853551_r1"		"SAMN03988837"	"GSM1853551"			"DMSO_rep2"		"DMSO_rep2"	2	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"DMSO"								"Homo sapiens"	"SRS1030663"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/008/SRR2159398"	1089528130	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2159398"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2159398"	"4bae565f727ad1c310a8ac4dc97ecdfe"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988838"				2537339199				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853553: DMSO_rep3; Homo sapiens; RNA-Seq"								"false"	"SRX1146023"	"GSM1853553"	"Illumina HiSeq 2500 sequencing; GSM1853553: DMSO_rep3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/009/SRR2159399/SRR2159399.fastq.gz"	1810705344	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2159399/SRR2159399.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2159399/SRR2159399.fastq.gz"	"4779a30a205134e3819f80bd41a7f653"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				49751749	"SRR2159399"	"GSM1853553_r1"		"SAMN03988838"	"GSM1853553"			"DMSO_rep3"		"DMSO_rep3"	3	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"DMSO"								"Homo sapiens"	"SRS1030664"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/009/SRR2159399"	1147098915	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2159399"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2159399"	"53c09a5589eb1705b0ec76f434f2135c"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988839"				2133817764				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853555: Isoginkgetin_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146024"	"GSM1853555"	"Illumina HiSeq 2500 sequencing; GSM1853555: Isoginkgetin_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/000/SRR2159400/SRR2159400.fastq.gz"	1522525627	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2159400/SRR2159400.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2159400/SRR2159400.fastq.gz"	"9aa75e8a2e28bb3091ca9a7d882f0cfb"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				41839564	"SRR2159400"	"GSM1853555_r1"		"SAMN03988839"	"GSM1853555"			"Isoginkgetin_rep1"		"Isoginkgetin_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"ISOGINKGETIN"								"Homo sapiens"	"SRS1030661"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/000/SRR2159400"	967028908	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2159400"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2159400"	"3921929c0a3b4b636b0be4d7bf335570"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988840"				2290649343				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853556: Isoginkgetin_rep2; Homo sapiens; RNA-Seq"								"false"	"SRX1146025"	"GSM1853556"	"Illumina HiSeq 2500 sequencing; GSM1853556: Isoginkgetin_rep2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/001/SRR2159401/SRR2159401.fastq.gz"	1637036710	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2159401/SRR2159401.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2159401/SRR2159401.fastq.gz"	"5f7d2b9d133d5491a78f85df3fea6721"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				44914693	"SRR2159401"	"GSM1853556_r1"		"SAMN03988840"	"GSM1853556"			"Isoginkgetin_rep2"		"Isoginkgetin_rep2"	2	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"ISOGINKGETIN"								"Homo sapiens"	"SRS1030660"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/001/SRR2159401"	1040768950	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2159401"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2159401"	"c4d0f101e94e4946a13c2891e9969884"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988841"				2681224581				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853558: Isoginkgetin_rep3; Homo sapiens; RNA-Seq"								"false"	"SRX1146026"	"GSM1853558"	"Illumina HiSeq 2500 sequencing; GSM1853558: Isoginkgetin_rep3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/002/SRR2159402/SRR2159402.fastq.gz"	1912935923	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2159402/SRR2159402.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2159402/SRR2159402.fastq.gz"	"4d9821b7c1fa1791c500ede5820bd133"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2019-10-12		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				52573031	"SRR2159402"	"GSM1853558_r1"		"SAMN03988841"	"GSM1853558"			"Isoginkgetin_rep3"		"Isoginkgetin_rep3"	3	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"ISOGINKGETIN"								"Homo sapiens"	"SRS1030662"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/002/SRR2159402"	1220301829	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2159402"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2159402"	"c4261b0cdd654265e8cfdff4b901a713"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988842"				4735124529				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853560: Methanol_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146027"	"GSM1853560"	"Illumina HiSeq 2500 sequencing; GSM1853560: Methanol_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/003/SRR2159403/SRR2159403.fastq.gz"	3055548708	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2159403/SRR2159403.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2159403/SRR2159403.fastq.gz"	"27b0f0ab06dd9d657c027a594d9439b8"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				92845579	"SRR2159403"	"GSM1853560_r1"		"SAMN03988842"	"GSM1853560"			"Methanol_rep1"		"Methanol_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"METHANOL"								"Homo sapiens"	"SRS1030659"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/003/SRR2159403"	1807572700	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2159403"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2159403"	"5566994f520376926f6117a3c66239ce"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988843"				4848395529				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853561: Methanol_rep2; Homo sapiens; RNA-Seq"								"false"	"SRX1146028"	"GSM1853561"	"Illumina HiSeq 2500 sequencing; GSM1853561: Methanol_rep2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/004/SRR2159404/SRR2159404.fastq.gz"	3134983634	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2159404/SRR2159404.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2159404/SRR2159404.fastq.gz"	"29c919580bcd76de5645d6d4138d4a86"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2019-10-30		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				95066579	"SRR2159404"	"GSM1853561_r1"		"SAMN03988843"	"GSM1853561"			"Methanol_rep2"		"Methanol_rep2"	2	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"METHANOL"								"Homo sapiens"	"SRS1030658"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/004/SRR2159404"	1854773697	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2159404"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2159404"	"3814b10a3efcfe78b756e3cba5a2f9bb"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988844"				4370102841				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853563: Methanol_rep3; Homo sapiens; RNA-Seq"								"false"	"SRX1146029"	"GSM1853563"	"Illumina HiSeq 2500 sequencing; GSM1853563: Methanol_rep3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/005/SRR2159405/SRR2159405.fastq.gz"	2823137115	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2159405/SRR2159405.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2159405/SRR2159405.fastq.gz"	"99c51ba4aca10a1de1d86227b61e77c9"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-02-07		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				85688291	"SRR2159405"	"GSM1853563_r1"		"SAMN03988844"	"GSM1853563"			"Methanol_rep3"		"Methanol_rep3"	3	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"METHANOL"								"Homo sapiens"	"SRS1030656"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/005/SRR2159405"	1672593524	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2159405"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2159405"	"94690f6d3dbfc104ab65cb494ed195bf"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988845"				3650635182				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853565: Spliceostatin A_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146030"	"GSM1853565"	"Illumina HiSeq 2500 sequencing; GSM1853565: Spliceostatin A_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/006/SRR2159406/SRR2159406.fastq.gz"	2367535337	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2159406/SRR2159406.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2159406/SRR2159406.fastq.gz"	"47e92148e9514962b9f8645438df76ae"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2019-11-13		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				71581082	"SRR2159406"	"GSM1853565_r1"		"SAMN03988845"	"GSM1853565"			"Spliceostatin A_rep1"		"Spliceostatin A_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"SPLICEOSTATIN_A"								"Homo sapiens"	"SRS1030655"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/006/SRR2159406"	1410271772	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2159406"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2159406"	"f9f2cd40b07e2be4528878733f06c89f"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
