accession	altitude	assembly_quality	assembly_software	base_count	binning_software	bio_material	broker_name	cell_line	cell_type	center_name	checklist	collected_by	collection_date	collection_date_submitted	completeness_score	contamination_score	country	cram_index_aspera	cram_index_ftp	cram_index_galaxy	cultivar	culture_collection	depth	description	dev_stage	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_package	environmental_sample	experiment_accession	experiment_alias	experiment_title	experimental_factor	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	germline	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_layout	library_name	library_selection	library_source	library_strategy	location	lon	mating_type	nominal_length	nominal_sdev	parent_study	ph	project_name	protocol_label	read_count	run_accession	run_alias	salinity	sample_accession	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_title	sampling_campaign	sampling_platform	sampling_site	scientific_name	secondary_sample_accession	secondary_study_accession	sequencing_method	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	strain	study_accession	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_sex	target_gene	tax_id	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	variety
SAMEA104303708				1842428550						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124008/19967_2#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124008/19967_2#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124008/19967_2#13.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180860	SC_EXP_19967_2#13	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_2.fastq.gz	320349862;328526254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/008/ERR2124008/ERR2124008_2.fastq.gz	5e8b67fd2648c34108a02e92d3a680f8;50ef99fa05d753ced37611e550419b88	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:E2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					24565714	ERR2124008	SC_RUN_19967_2#13		SAMEA104303708	bd644b60-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928686	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124008/19967_2#13.cram	539765295	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124008/19967_2#13.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124008/19967_2#13.cram		6ffc80c37425d34999134bae00d3edf5			9606						
SAMEA104303709				1565248500						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124009/19967_2#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124009/19967_2#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124009/19967_2#14.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180861	SC_EXP_19967_2#14	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_2.fastq.gz	273151189;285059330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/009/ERR2124009/ERR2124009_2.fastq.gz	7119d5910e74ce2da605efdad2b27136;12267a51b19bfa5b2ba5ef026125abd6	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:F2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					20869980	ERR2124009	SC_RUN_19967_2#14		SAMEA104303709	bd6e0f60-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928687	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124009/19967_2#14.cram	462791731	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124009/19967_2#14.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124009/19967_2#14.cram		94eece2ed5c7fdd8713a55c1265345f9			9606						
SAMEA104303710				1648789200						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124010/19967_2#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124010/19967_2#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124010/19967_2#15.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180862	SC_EXP_19967_2#15	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_2.fastq.gz	285952662;301076434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/000/ERR2124010/ERR2124010_2.fastq.gz	12162939c36db5afd4fd4af88ba2333c;abee4733ec8c0ec9e245383154aac99d	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:G2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					21983856	ERR2124010	SC_RUN_19967_2#15		SAMEA104303710	bd7b7ce0-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928688	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124010/19967_2#15.cram	486829011	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124010/19967_2#15.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124010/19967_2#15.cram		f1dcba39131dae77efdbf4988ded9880			9606						
SAMEA104303711				1403375700						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124011/19967_2#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124011/19967_2#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124011/19967_2#22.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180863	SC_EXP_19967_2#22	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_2.fastq.gz	242765790;262020192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/001/ERR2124011/ERR2124011_2.fastq.gz	7d45379254b49774205acf0e4c70e480;422bc1b5be1e06cba28d7cb5a37adab1	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:F3	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					18711676	ERR2124011	SC_RUN_19967_2#22		SAMEA104303711	bdcaae50-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928689	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124011/19967_2#22.cram	423618795	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124011/19967_2#22.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124011/19967_2#22.cram		cdce95ed651857d51f84e8e4b8e6eac9			9606						
SAMEA104303712				1531925700						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124012/19967_2#23.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124012/19967_2#23.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124012/19967_2#23.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180864	SC_EXP_19967_2#23	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_2.fastq.gz	269310942;278933898	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/002/ERR2124012/ERR2124012_2.fastq.gz	c384160259fa0b3d503fe2f52962d2af;fc9528f4c5b523aa878b53c860a1bd4b	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:G3	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					20425676	ERR2124012	SC_RUN_19967_2#23		SAMEA104303712	bdd66e20-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928690	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124012/19967_2#23.cram	459793290	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124012/19967_2#23.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124012/19967_2#23.cram		5fb7d5b19525508d0095f8222bc195a8			9606						
SAMEA104303713				1537769100						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124013/19967_2#24.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124013/19967_2#24.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124013/19967_2#24.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180865	SC_EXP_19967_2#24	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_2.fastq.gz	274181323;281011476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/003/ERR2124013/ERR2124013_2.fastq.gz	b97de0b888803b5ef20b266c484b383d;01926f32afff5f6cd8d4bc7f40d399e8	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:H3	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					20503588	ERR2124013	SC_RUN_19967_2#24		SAMEA104303713	bde3b490-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928691	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124013/19967_2#24.cram	470090563	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124013/19967_2#24.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124013/19967_2#24.cram		9dc5352afc81cd5ccf1c6b1f0340942a			9606						
SAMEA104303708				1883749350						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124014/19990_4#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124014/19990_4#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124014/19990_4#13.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180866	SC_EXP_19990_4#13	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_2.fastq.gz	330931803;341158572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/004/ERR2124014/ERR2124014_2.fastq.gz	5a4ff260ec99c7147916bf69053058cb;229c67c11b3ff41b9cfd0bff8c6d0116	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:E2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					25116658	ERR2124014	SC_RUN_19990_4#13		SAMEA104303708	bd644b60-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928686	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124014/19990_4#13.cram	506335837	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124014/19990_4#13.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124014/19990_4#13.cram		8f2183b537c31854581360dd10727b7c			9606						
SAMEA104303709				1600394700						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124015/19990_4#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124015/19990_4#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124015/19990_4#14.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180867	SC_EXP_19990_4#14	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_2.fastq.gz	282986501;295615371	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/005/ERR2124015/ERR2124015_2.fastq.gz	4b851c8a85dfa10e722e0b68966b0519;d6a41f90aacac81308947e3be603ff10	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:F2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					21338596	ERR2124015	SC_RUN_19990_4#14		SAMEA104303709	bd6e0f60-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928687	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124015/19990_4#14.cram	435032192	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124015/19990_4#14.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124015/19990_4#14.cram		fbf13ef82618221e082e52cbfab76eaa			9606						
SAMEA104303710				1682756850						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124016/19990_4#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124016/19990_4#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124016/19990_4#15.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180868	SC_EXP_19990_4#15	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_2.fastq.gz	296256930;311634773	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/006/ERR2124016/ERR2124016_2.fastq.gz	0064962412fd3c24238e49e7cf0606b6;17b6451aad7ba6d62a6a6d99e0a9c88d	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:G2	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					22436758	ERR2124016	SC_RUN_19990_4#15		SAMEA104303710	bd7b7ce0-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928688	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124016/19990_4#15.cram	457847280	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124016/19990_4#15.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124016/19990_4#15.cram		ac0711874ef9020a3f418c306a0c1984			9606						
SAMEA104303711				1432096650						SC	ERC000011							fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124017/19990_4#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124017/19990_4#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124017/19990_4#22.cram.crai				Illumina HiSeq 2500 paired end sequencing								false	ERX2180869	SC_EXP_19990_4#22	Illumina HiSeq 2500 paired end sequencing		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_2.fastq.gz	252573351;270729660	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR212/007/ERR2124017/ERR2124017_2.fastq.gz	46d28b40e882f4673de3b8f3a2a30bd6;37ad418017d6dc515f10ce810bef2e74	2017-09-15	2017-09-15	false											Illumina HiSeq 2500	ILLUMINA				2018-11-16		RNA-seq dUTP eukaryotic	PAIRED	DN445639K:F3	cDNA	TRANSCRIPTOMIC	RNA-Seq				200	0					19094622	ERR2124017	SC_RUN_19990_4#22		SAMEA104303711	bdcaae50-0617-11e6-bb80-3c4a9275d6c8			Human		Human				Homo sapiens	ERS1928689	ERP104309												PRJEB22618	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__-sc-4959	SRPK1_is_a_therapeutic_vulnerability_in_acute_myeloid_leukemia_through_its_effects_on_isoform_choice_of_epigenetic_regulators__			ERA1097436		fasp.sra.ebi.ac.uk:/vol1/run/ERR212/ERR2124017/19990_4#22.cram	398954677	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124017/19990_4#22.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR212/ERR2124017/19990_4#22.cram		0b5135d4944c46004c88a47c157e131a			9606						
