File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF158PIV	fastq	fastq		reads		ENCSR974RYS	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/168850/'], '@type': ['Target', 'Item'], 'name': 'ZNF800-human', 'label': 'ZNF800', '@id': '/targets/ZNF800-human/', 'title': 'ZNF800 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '767aef11-bd84-44f5-98d5-7cec182bafce', 'status': 'released'}				ZNF800-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF738ESH/			2926490290	Brenton Graveley, UConn	66cee605f70ff006f4a0f53d726a7991	SRA:SRR14845154	https://www.encodeproject.org/files/ENCFF158PIV/@@download/ENCFF158PIV.fastq.gz		Illumina HiSeq 2500	/files/ENCFF467IYJ/, /files/ENCFF593JVU/	released	s3://encode-public/2017/11/21/6b66d7de-c82b-4811-93d7-34b4e7b47007/ENCFF158PIV.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/21/6b66d7de-c82b-4811-93d7-34b4e7b47007/ENCFF158PIV.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF700VXB	fastq	fastq		reads		ENCSR974RYS	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/168850/'], '@type': ['Target', 'Item'], 'name': 'ZNF800-human', 'label': 'ZNF800', '@id': '/targets/ZNF800-human/', 'title': 'ZNF800 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '767aef11-bd84-44f5-98d5-7cec182bafce', 'status': 'released'}				ZNF800-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF193XLA/			1752246195	Brenton Graveley, UConn	01416ebea7b67c0c1b26e34b520638a9	SRA:SRR14845155	https://www.encodeproject.org/files/ENCFF700VXB/@@download/ENCFF700VXB.fastq.gz		Illumina HiSeq 2500	/files/ENCFF378KNS/, /files/ENCFF860BAF/	released	s3://encode-public/2017/11/20/29528232-e80a-44c4-9df2-0f707f736816/ENCFF700VXB.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/29528232-e80a-44c4-9df2-0f707f736816/ENCFF700VXB.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF738ESH	fastq	fastq		reads		ENCSR974RYS	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/168850/'], '@type': ['Target', 'Item'], 'name': 'ZNF800-human', 'label': 'ZNF800', '@id': '/targets/ZNF800-human/', 'title': 'ZNF800 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '767aef11-bd84-44f5-98d5-7cec182bafce', 'status': 'released'}				ZNF800-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF158PIV/			2905611613	Brenton Graveley, UConn	b3c223745b458b5d5cbe3e33f9f7a238	SRA:SRR14845154	https://www.encodeproject.org/files/ENCFF738ESH/@@download/ENCFF738ESH.fastq.gz		Illumina HiSeq 2500	/files/ENCFF378KNS/, /files/ENCFF860BAF/	released	s3://encode-public/2017/11/20/78519457-6598-4b3d-9125-4cd822e0c87e/ENCFF738ESH.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/78519457-6598-4b3d-9125-4cd822e0c87e/ENCFF738ESH.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF193XLA	fastq	fastq		reads		ENCSR974RYS	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/168850/'], '@type': ['Target', 'Item'], 'name': 'ZNF800-human', 'label': 'ZNF800', '@id': '/targets/ZNF800-human/', 'title': 'ZNF800 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '767aef11-bd84-44f5-98d5-7cec182bafce', 'status': 'released'}				ZNF800-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF700VXB/			1733677379	Brenton Graveley, UConn	507c94c3d92b5ebbc82f22f6c6cbd17f	SRA:SRR14845155	https://www.encodeproject.org/files/ENCFF193XLA/@@download/ENCFF193XLA.fastq.gz		Illumina HiSeq 2500	/files/ENCFF467IYJ/, /files/ENCFF593JVU/	released	s3://encode-public/2017/11/21/12097c2c-5503-4b18-8ad4-82230c209051/ENCFF193XLA.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/21/12097c2c-5503-4b18-8ad4-82230c209051/ENCFF193XLA.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF201DID	fastq	fastq		reads		ENCSR103NNB	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55153/'], '@type': ['Target', 'Item'], 'name': 'SDAD1-human', 'label': 'SDAD1', '@id': '/targets/SDAD1-human/', 'title': 'SDAD1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': '7822522a-7d72-42a0-9178-74032811f5fc', 'status': 'released'}				SDAD1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF828RJB/			1776208701	Brenton Graveley, UConn	036f3f942e93677e6de09f996b8154b6	SRA:SRR14848373	https://www.encodeproject.org/files/ENCFF201DID/@@download/ENCFF201DID.fastq.gz		Illumina HiSeq 2500	/files/ENCFF378KNS/, /files/ENCFF860BAF/	released	s3://encode-public/2017/11/20/18058faf-bb79-4be7-bbf8-2774abee3558/ENCFF201DID.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/18058faf-bb79-4be7-bbf8-2774abee3558/ENCFF201DID.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF049FJJ	fastq	fastq		reads		ENCSR103NNB	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55153/'], '@type': ['Target', 'Item'], 'name': 'SDAD1-human', 'label': 'SDAD1', '@id': '/targets/SDAD1-human/', 'title': 'SDAD1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': '7822522a-7d72-42a0-9178-74032811f5fc', 'status': 'released'}				SDAD1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF056BCC/			1832810132	Brenton Graveley, UConn	4a8cd7a6100d3a954dd50625bb4fd0b5	SRA:SRR14848372	https://www.encodeproject.org/files/ENCFF049FJJ/@@download/ENCFF049FJJ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF378KNS/, /files/ENCFF860BAF/	released	s3://encode-public/2017/11/20/506a564a-eabf-431f-8a88-8bb9a99e7f7d/ENCFF049FJJ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/506a564a-eabf-431f-8a88-8bb9a99e7f7d/ENCFF049FJJ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF828RJB	fastq	fastq		reads		ENCSR103NNB	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55153/'], '@type': ['Target', 'Item'], 'name': 'SDAD1-human', 'label': 'SDAD1', '@id': '/targets/SDAD1-human/', 'title': 'SDAD1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': '7822522a-7d72-42a0-9178-74032811f5fc', 'status': 'released'}				SDAD1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF201DID/			1783998757	Brenton Graveley, UConn	907bba650d8dc34d1e81bcf53aae4f1d	SRA:SRR14848373	https://www.encodeproject.org/files/ENCFF828RJB/@@download/ENCFF828RJB.fastq.gz		Illumina HiSeq 2500	/files/ENCFF467IYJ/, /files/ENCFF593JVU/	released	s3://encode-public/2017/11/20/77813d0d-4ac0-4dd7-b856-b3d63d61d3cb/ENCFF828RJB.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/77813d0d-4ac0-4dd7-b856-b3d63d61d3cb/ENCFF828RJB.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF056BCC	fastq	fastq		reads		ENCSR103NNB	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55153/'], '@type': ['Target', 'Item'], 'name': 'SDAD1-human', 'label': 'SDAD1', '@id': '/targets/SDAD1-human/', 'title': 'SDAD1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': '7822522a-7d72-42a0-9178-74032811f5fc', 'status': 'released'}				SDAD1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-09	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF049FJJ/			1889200601	Brenton Graveley, UConn	8db7a7178c5e94b77847f5835fe42d1e	SRA:SRR14848372	https://www.encodeproject.org/files/ENCFF056BCC/@@download/ENCFF056BCC.fastq.gz		Illumina HiSeq 2500	/files/ENCFF467IYJ/, /files/ENCFF593JVU/	released	s3://encode-public/2017/11/20/4d3d9fe3-d5d3-4732-8fb2-cf4a922c9e88/ENCFF056BCC.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/4d3d9fe3-d5d3-4732-8fb2-cf4a922c9e88/ENCFF056BCC.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF378KNS	fastq	fastq		reads		ENCSR341TTW	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF467IYJ/			2115463862	Brenton Graveley, UConn	701572d5148abd066000fecca388ef9d	SRA:SRR14843653	https://www.encodeproject.org/files/ENCFF378KNS/@@download/ENCFF378KNS.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/06cbce59-6723-4bb5-8afc-31b72db53431/ENCFF378KNS.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/06cbce59-6723-4bb5-8afc-31b72db53431/ENCFF378KNS.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF860BAF	fastq	fastq		reads		ENCSR341TTW	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion						polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2017-12-06	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF593JVU/			2292715175	Brenton Graveley, UConn	7e7451d89034c366f15f4c85eae1ed97	SRA:SRR14843652	https://www.encodeproject.org/files/ENCFF860BAF/@@download/ENCFF860BAF.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/11/20/874317ac-c47f-40a5-a979-e2ce9ec9f64c/ENCFF860BAF.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/11/20/874317ac-c47f-40a5-a979-e2ce9ec9f64c/ENCFF860BAF.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
