"Input"	"Match type"	"Approved symbol"	"Approved name"	"HGNC ID"	"Location"
"AA3"	"Unmatched"	"ANXA3"			
"AA4"	"Unmatched"	"ANXA4"			
"AA5"	"Unmatched"	"ANXA5"			
"AA6"	"Unmatched"	"ANXA6"			
"AA7"	"Unmatched"	"ANXA7"			
"AA8"	"Unmatched"	"ANXA8"			
"AA9"	"Unmatched"	"ANXA9"			
"AC008073.5"	"Unmatched"	"SF3B6"			
"CCDC12_b"	"Unmatched"	"CCDC12"			
"CDC5L_b"	"Unmatched"	"CDC5L"			
"HFM1_b"	"Unmatched"	"HFM1"			
"LENG1_b"	"Unmatched"	"LENG1"			
"RBM17con"	"Unmatched"	"RBM17"			
"BAT1"	"Previous symbol"	"DDX39B"	"DExD-box helicase 39B"	"HGNC:13917"	"6p21.33"
"C16orf80"	"Previous symbol"	"CFAP20"	"cilia and flagella associated protein 20"	"HGNC:29523"	"16q21"
"C19orf29"	"Previous symbol"	"CACTIN"	"cactin, spliceosome C complex subunit"	"HGNC:29938"	"19p13.3"
"C19orf43"	"Previous symbol"	"TRIR"	"telomerase RNA component interacting RNase"	"HGNC:28424"	"19p13.13"
"CCDC55"	"Previous symbol"	"NSRP1"	"nuclear speckle splicing regulatory protein 1"	"HGNC:25305"	"17q11.2"
"CRKRS"	"Previous symbol"	"CDK12"	"cyclin dependent kinase 12"	"HGNC:24224"	"17q12"
"CSDA"	"Previous symbol"	"YBX3"	"Y-box binding protein 3"	"HGNC:2428"	"12p13.2"
"CXorf56"	"Previous symbol"	"STEEP1"	"STING1 ER exit protein 1"	"HGNC:26239"	"Xq24"
"DBC1"	"Previous symbol"	"BRINP1"	"BMP/retinoic acid inducible neural specific 1"	"HGNC:2687"	"9q33.1"
"DDX12"	"Previous symbol"	"DDX12P"	"DEAD/H-box helicase 12, pseudogene"	"HGNC:2737"	"12p13.31"
"DGCR14"	"Previous symbol"	"ESS2"	"ess-2 splicing factor homolog"	"HGNC:16817"	"22q11.21"
"EIF2C2"	"Previous symbol"	"AGO2"	"argonaute RISC catalytic component 2"	"HGNC:3263"	"8q24.3"
"GCFC1"	"Previous symbol"	"PAXBP1"	"PAX3 and PAX7 binding protein 1"	"HGNC:13579"	"21q22.11"
"HNRPDL"	"Previous symbol"	"HNRNPDL"	"heterogeneous nuclear ribonucleoprotein D like"	"HGNC:5037"	"4q21.22"
"HNRPLL"	"Previous symbol"	"HNRNPLL"	"heterogeneous nuclear ribonucleoprotein L like"	"HGNC:25127"	"2p22.1"
"KIAA1429"	"Previous symbol"	"VIRMA"	"vir like m6A methyltransferase associated"	"HGNC:24500"	"8q22.1"
"NHP2L1"	"Previous symbol"	"SNU13"	"small nuclear ribonucleoprotein 13"	"HGNC:7819"	"22q13.2"
"RBM9"	"Previous symbol"	"RBFOX2"	"RNA binding fox-1 homolog 2"	"HGNC:9906"	"22q12.3"
"RP11"	"Previous symbol"	"PRPF31"	"pre-mRNA processing factor 31"	"HGNC:15446"	"19q13.42"
"SFRS11"	"Previous symbol"	"SRSF11"	"serine and arginine rich splicing factor 11"	"HGNC:10782"	"1p31.1"
"SFRS3"	"Previous symbol"	"SRSF3"	"serine and arginine rich splicing factor 3"	"HGNC:10785"	"6p21.31-p21.2"
"SFRS4"	"Previous symbol"	"SRSF4"	"serine and arginine rich splicing factor 4"	"HGNC:10786"	"1p35.3"
"SFRS6"	"Previous symbol"	"SRSF6"	"serine and arginine rich splicing factor 6"	"HGNC:10788"	"20q13.11"
"SFRS7"	"Previous symbol"	"SRSF7"	"serine and arginine rich splicing factor 7"	"HGNC:10789"	"2p22.1"
"SFRS9"	"Previous symbol"	"SRSF9"	"serine and arginine rich splicing factor 9"	"HGNC:10791"	"12q24.31"
"SKIV2L2"	"Previous symbol"	"MTREX"	"Mtr4 exosome RNA helicase"	"HGNC:18734"	"5q11.2"
"THOC4"	"Previous symbol"	"ALYREF"	"Aly/REF export factor"	"HGNC:19071"	"17q25.3"
"ZRSR1"	"Previous symbol"	"ZRSR2P1"	"ZRSR2 pseudogene 1"	"HGNC:12456"	"5q22.2"
"ACIN1"	"Approved symbol"	"ACIN1"	"apoptotic chromatin condensation inducer 1"	"HGNC:17066"	"14q11.2"
"ADAR"	"Approved symbol"	"ADAR"	"adenosine deaminase RNA specific"	"HGNC:225"	"1q21.3"
"ADARB1"	"Approved symbol"	"ADARB1"	"adenosine deaminase RNA specific B1"	"HGNC:226"	"21q22.3"
"ALKBH5"	"Approved symbol"	"ALKBH5"	"alkB homolog 5, RNA demethylase"	"HGNC:25996"	"17p11.2"
