GENE	ENSEMBL	driver_type	n	n_sign	n_sum
ACIN1	ENSG00000100813	Oncogenic	9	9	9
AGO2	ENSG00000123908	Tumor suppressor	10	-10	-9
AQR	ENSG00000021776	Tumor suppressor	9	-9	-6
BCLAF1	ENSG00000029363	Oncogenic	10	10	10
C1QBP	ENSG00000108561	Oncogenic	8	8	8
CDC5L	ENSG00000096401	Tumor suppressor	9	-9	-7
CELF2	ENSG00000048740	Oncogenic	6	6	6
CIRBP	ENSG00000099622	Tumor suppressor	7	-7	-6
CLK3	ENSG00000179335	Oncogenic	9	9	8
CLK4	ENSG00000113240	Oncogenic	7	7	6
CPSF6	ENSG00000111605	Oncogenic	13	13	13
CSTF2	ENSG00000101811	Oncogenic	8	8	7
CWC15	ENSG00000150316	Tumor suppressor	8	-8	-6
DDX17	ENSG00000100201	Tumor suppressor	10	-10	-10
DDX18	ENSG00000088205	Oncogenic	9	9	8
DDX19B	ENSG00000157349	Oncogenic	11	11	11
DDX21	ENSG00000165732	Oncogenic	8	8	6
DDX24	ENSG00000089737	Tumor suppressor	13	-13	-13
DDX39B	ENSG00000198563	Tumor suppressor	8	-8	-6
DDX3X	ENSG00000215301	Tumor suppressor	9	-9	-6
DDX41	ENSG00000183258	Oncogenic	10	10	9
DDX42	ENSG00000198231	Oncogenic	10	10	9
DDX5	ENSG00000108654	Oncogenic	9	9	6
DDX6	ENSG00000110367	Tumor suppressor	8	-8	-6
DHX34	ENSG00000134815	Oncogenic	7	7	7
DICER1	ENSG00000100697	Oncogenic	9	9	8
DNMT1	ENSG00000130816	Tumor suppressor	8	-8	-7
EIF2S2	ENSG00000125977	Oncogenic	14	14	14
ESS2	ENSG00000100056	Tumor suppressor	10	-10	-9
FAM32A	ENSG00000105058	Oncogenic	12	12	12
FMR1	ENSG00000102081	Oncogenic	7	7	7
GRSF1	ENSG00000132463	Tumor suppressor	10	-10	-8
HNRNPA0	ENSG00000177733	Oncogenic	10	10	9
HNRNPA1	ENSG00000135486	Oncogenic	10	10	10
HNRNPAB	ENSG00000197451	Oncogenic	7	7	7
HNRNPD	ENSG00000138668	Oncogenic	9	9	9
HNRNPK	ENSG00000165119	Tumor suppressor	10	-10	-8
HNRNPLL	ENSG00000143889	Oncogenic	12	12	12
HNRNPM	ENSG00000099783	Tumor suppressor	11	-11	-10
HNRNPU	ENSG00000153187	Oncogenic	12	12	11
IGF2BP3	ENSG00000136231	Oncogenic	8	8	7
ILF3	ENSG00000129351	Oncogenic	13	13	13
KHDRBS1	ENSG00000121774	Oncogenic	12	12	10
KHDRBS3	ENSG00000131773	Oncogenic	13	13	13
KHSRP	ENSG00000088247	Oncogenic	9	9	8
LSM7	ENSG00000130332	Tumor suppressor	8	-8	-6
MBNL1	ENSG00000152601	Tumor suppressor	10	-10	-8
MBNL2	ENSG00000139793	Tumor suppressor	9	-9	-8
MSI1	ENSG00000135097	Tumor suppressor	8	-8	-7
MSI2	ENSG00000153944	Oncogenic	9	9	9
